datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 16:00 - 01/01/2024 16:15,3154,3106.2,2438,0,354.1,3200,3014,3159.53,3482.66,2566.25,0,33.27,2754.5,3053.25
01/01/2024 16:15 - 01/01/2024 16:30,3154,3106.2,2438,0,354.1,3200,3014,3159.53,3482.66,2566.25,0,33.27,2754.5,3053.25
01/01/2024 16:30 - 01/01/2024 16:45,3154,3106.2,2438,0,354.1,3200,3014,3159.53,3482.66,2566.25,0,33.27,2754.5,3053.25
01/01/2024 16:45 - 01/01/2024 17:00,3154,3106.2,2438,0,354.1,3200,3014,3159.53,3482.66,2566.25,0,33.27,2754.5,3053.25
01/01/2024 17:00 - 01/01/2024 17:15,2509.25,1698.1,2438,0,2785.8,3200,3014,2716.88,3145.2,2356.75,0,2535.29,2244.75,3056.75
01/01/2024 17:15 - 01/01/2024 17:30,2509.25,1698.1,2438,0,2785.8,3200,3014,2716.88,3145.2,2356.75,0,2535.29,2244.75,3056.75
01/01/2024 17:30 - 01/01/2024 17:45,2509.25,1698.1,2438,0,2785.8,3200,3014,2716.88,3145.2,2356.75,0,2535.29,2244.75,3056.75
01/01/2024 17:45 - 01/01/2024 18:00,2509.25,1698.1,2438,0,2785.8,3200,3014,2716.88,3145.2,2356.75,0,2535.29,2244.75,3056.75
01/01/2024 18:00 - 01/01/2024 18:15,2971.75,1080.35,2438,0,2833.2,3162,3014,3149.19,3294.1,2249.5,0,2930.03,1854.25,3055
01/01/2024 18:15 - 01/01/2024 18:30,2971.75,1080.35,2438,0,2833.2,3162,3014,3149.19,3294.1,2249.5,0,2930.03,1854.25,3055
